frame,timestamp,grid_row,grid_col,region,dominant_angle_deg
7,1762585055.852233,0,0,"(0, 0, 240, 135)",
14,1762585056.713848,0,0,"(0, 0, 240, 135)",-82.5
21,1762585057.587025,0,0,"(0, 0, 240, 135)",-157.5
28,1762585058.476311,0,0,"(0, 0, 240, 135)",67.5
35,1762585059.342025,0,0,"(0, 0, 240, 135)",-157.5
42,1762585060.21475,0,0,"(0, 0, 240, 135)",-157.5
49,1762585061.103656,0,0,"(0, 0, 240, 135)",-82.5
56,1762585061.966135,0,0,"(0, 0, 240, 135)",-82.5
63,1762585062.836471,0,0,"(0, 0, 240, 135)",-82.5
70,1762585063.705051,0,0,"(0, 0, 240, 135)",97.5
77,1762585064.5769238,0,0,"(0, 0, 240, 135)",-157.5
84,1762585065.441772,0,0,"(0, 0, 240, 135)",-127.5
91,1762585066.3115442,0,0,"(0, 0, 240, 135)",-82.5
98,1762585067.201466,0,0,"(0, 0, 240, 135)",-127.5
105,1762585068.082029,0,0,"(0, 0, 240, 135)",142.5
112,1762585068.952776,0,0,"(0, 0, 240, 135)",-82.5
119,1762585069.844373,0,0,"(0, 0, 240, 135)",7.5
126,1762585070.730183,0,0,"(0, 0, 240, 135)",-127.5
133,1762585071.615499,0,0,"(0, 0, 240, 135)",97.5
140,1762585072.504504,0,0,"(0, 0, 240, 135)",-82.5
147,1762585073.4061792,0,0,"(0, 0, 240, 135)",-112.5
154,1762585074.302878,0,0,"(0, 0, 240, 135)",172.5
161,1762585075.1960452,0,0,"(0, 0, 240, 135)",-127.5
168,1762585076.1005921,0,0,"(0, 0, 240, 135)",-127.5
175,1762585077.017984,0,0,"(0, 0, 240, 135)",-127.5
182,1762585077.929298,0,0,"(0, 0, 240, 135)",-97.5
189,1762585078.840184,0,0,"(0, 0, 240, 135)",-157.5
196,1762585079.755481,0,0,"(0, 0, 240, 135)",-172.5
